SOVEREIGNT,2023_Population,GDP_PrCap,Area_Mi,Pop_Dens,Life_Exp
Antigua and Barbuda,94158,16702,171,550.63,78.84
Barbados,281902,17758,170,1658.25,77.39
Belize,409370,4806,8867,46.17,72.85
Canada,38695764,47764,3855100,10.04,81.75
Costa Rica,5203981,11729,19700,264.16,79.28
Cuba,11199073,7602,42427,263.96,77.57
Dominica,72961,7879,290,251.59,76.60
Dominican Republic,11305721,7478,18792,601.62,72.89
El Salvador,6357486,3895,8124,782.56,71.06
Grenada,125989,10405,133,947.29,74.92
Guatemala,18026995,4469,42042,428.79,71.80
Haiti,11688156,784,10710,1091.33,64.05
Honduras,10551593,2766,43433,242.94,71.46
Jamaica,2826022,5193,4244,665.89,71.87
Mexico,128206782,9319,758449,169.04,70.13
Nicaragua,7020645,2221,50337,139.47,71.80
Panama,4452493,15089,29119,152.91,76.66
Saint Kitts and Nevis,47730,17397,101,472.57,71.34
Saint Lucia,180148,9606,208,866.10,73.42
Saint Vincent and the Grenadines,103764,7124,150,691.76,72.13
The Bahamas,411934,32661,5383,76.52,72.68
Trinidad and Tobago,1533921,16638,1980,774.71,74.41
United States of America,339550686,65281,3717813,91.33,77.28
